subject_name,target_mode,perturbation_type,trial_number,trial_name,target_angles,circle_angles,error_angles
Lea,fix,sudden,146,Sudden Perturbation 2,0,-4.653824058053331,-4.653824058053331
Lea,fix,sudden,147,Sudden Perturbation 2,0,-1.5899244566197244,-1.5899244566197244
Lea,fix,sudden,148,Sudden Perturbation 2,0,-4.219773425913894,-4.219773425913894
Lea,fix,sudden,149,Sudden Perturbation 2,0,-9.265895265383106,-9.265895265383106
Lea,fix,sudden,150,Sudden Perturbation 2,0,1.0947180857489256,1.0947180857489256
Lea,fix,sudden,151,Sudden Perturbation 2,0,-2.7446716250569634,-2.7446716250569634
Lea,fix,sudden,152,Sudden Perturbation 2,0,-0.4221613187401416,-0.4221613187401416
Lea,fix,sudden,153,Sudden Perturbation 2,0,-1.9275130641469291,-1.9275130641469291
Lea,fix,sudden,154,Sudden Perturbation 2,0,0.5945445514488312,0.5945445514488312
Lea,fix,sudden,155,Sudden Perturbation 2,0,-1.3610774553460254,-1.3610774553460254
Lea,fix,sudden,156,Sudden Perturbation 2,0,-0.41775835405635353,-0.41775835405635353
Lea,fix,sudden,157,Sudden Perturbation 2,0,1.2637316943782315,1.2637316943782315
Lea,fix,sudden,158,Sudden Perturbation 2,0,-0.4824817140487051,-0.4824817140487051
Lea,fix,sudden,159,Sudden Perturbation 2,0,-6.243744943210303,-6.243744943210303
Lea,fix,sudden,160,Sudden Perturbation 2,0,0.2983302436935952,0.2983302436935952
Lea,fix,sudden,161,No Peturbation,0,38.95878731205102,38.95878731205102
Lea,fix,sudden,162,No Peturbation,0,30.188663621075257,30.188663621075257
Lea,fix,sudden,163,No Peturbation,0,12.671233004073105,12.671233004073105
Lea,fix,sudden,164,No Peturbation,0,5.318512697530573,5.318512697530573
Lea,fix,sudden,165,No Peturbation,0,1.7013546053260247,1.7013546053260247
Lea,fix,sudden,166,No Peturbation,0,3.754651728119422,3.754651728119422
Lea,fix,sudden,167,No Peturbation,0,7.520313750380949,7.520313750380949
Lea,fix,sudden,168,No Peturbation,0,4.270654409609319,4.270654409609319
Lea,fix,sudden,169,No Peturbation,0,2.7508347958811856,2.7508347958811856
Lea,fix,sudden,170,No Peturbation,0,0.9265356074442881,0.9265356074442881
Lea,fix,sudden,171,No Peturbation,0,1.8585029996113545,1.8585029996113545
Lea,fix,sudden,172,No Peturbation,0,7.642599649096495,7.642599649096495
Lea,fix,sudden,173,No Peturbation,0,2.1080953123569413,2.1080953123569413
Lea,fix,sudden,174,No Peturbation,0,2.8063702517882056,2.8063702517882056
Lea,fix,sudden,175,No Peturbation,0,-0.8923854587400043,-0.8923854587400043
Lea,fix,sudden,176,No Peturbation,0,-1.8535854228727489,-1.8535854228727489
Lea,fix,sudden,177,No Peturbation,0,1.3411277797169256,1.3411277797169256
Lea,fix,sudden,178,No Peturbation,0,4.716690775657835,4.716690775657835
Lea,fix,sudden,179,No Peturbation,0,1.6010180022429628,1.6010180022429628
Lea,fix,sudden,180,No Peturbation,0,7.663494662724011,7.663494662724011
Lea,fix,sudden,181,No Peturbation,0,3.635452957126264,3.635452957126264
Lea,fix,sudden,182,No Peturbation,0,2.6367584261404597,2.6367584261404597
Lea,fix,sudden,183,No Peturbation,0,5.532333574176041,5.532333574176041
Lea,fix,sudden,184,No Peturbation,0,1.9636575340519482,1.9636575340519482
Lea,fix,sudden,185,No Peturbation,0,-1.1123996162978782,-1.1123996162978782
Lea,fix,sudden,186,No Peturbation,0,0.8628230170810577,0.8628230170810577
Lea,fix,sudden,187,No Peturbation,0,-0.5161642297649448,-0.5161642297649448
Lea,fix,sudden,188,No Peturbation,0,-1.0708244547870949,-1.0708244547870949
Lea,fix,sudden,189,No Peturbation,0,-13.509803953281363,-13.509803953281363
Lea,fix,sudden,190,No Peturbation,0,-1.319077615508228,-1.319077615508228
Lea,fix,sudden,191,No Peturbation,0,8.25385114556242,8.25385114556242
Lea,fix,sudden,192,No Peturbation,0,7.358399088753671,7.358399088753671
Lea,fix,sudden,193,No Peturbation,0,5.325740624767673,5.325740624767673
Lea,fix,sudden,194,No Peturbation,0,4.1391892557261425,4.1391892557261425
Lea,fix,sudden,195,No Peturbation,0,3.4577766859212606,3.4577766859212606
Lea,fix,sudden,196,No Peturbation,0,-1.4729954416287292,-1.4729954416287292
Lea,fix,sudden,197,No Peturbation,0,3.742988295687193,3.742988295687193
Lea,fix,sudden,198,No Peturbation,0,6.905913097567696,6.905913097567696
Lea,fix,sudden,199,No Peturbation,0,2.6887104089948872,2.6887104089948872
Lea,fix,sudden,200,No Peturbation,0,1.5765500551837375,1.5765500551837375
